skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,response_type,question_type,cognitive_demand,acceptance_note,visual,ixl_reference_url,curriculum_source,qa_status
AC9M1N04,Addition and Subtraction within 20,test,T01,"Start at 9. Jump forward 1 to 10, then forward 6. What is 9 + 7?","{""A"": ""15"", ""B"": ""16"", ""C"": ""17""}",B,Seven is one and six. The jumps finish at sixteen.,mcq,Read split number-line jumps,apply,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T02,8 + 8 = 16. Which fact has a total one more than 16?,"{""A"": ""9 + 9 = 18"", ""B"": ""8 + 9 = 17"", ""C"": ""8 + 7 = 15""}",B,Only one of the two eights increases by one. The total increases from 16 to 17.,mcq,Identify a near-double fact,reason,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T03,Use 6 + 9 = 15. What is 15 − 6?,"{""A"": ""9"", ""B"": ""15"", ""C"": ""6""}",A,"Removing one part from the whole leaves the other part, nine.",mcq,Use a related addition fact,apply,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T04,7 + 7 = 14. Work out 7 + 8 and tell how the double helps.,{},15; one more than 14.,"Eight is one more than seven, so the total is one more than fourteen.",short_answer,Explain a near-double strategy,reason,Accept 15 with an explanation or model showing one extra added to the known double.,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T05,"To work out 16 − 7, take away 6 first. What is the next step?","{""A"": ""10 − 1"", ""B"": ""10 + 1"", ""C"": ""10 − 7""}",A,"Sixteen minus six reaches ten. Seven is six and one, so take away one more.",mcq,Complete a bridge-through-ten strategy,reason,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T06,The whole is 17. One part is 8. Find the other part.,"{""A"": ""10"", ""B"": ""8"", ""C"": ""9""}",C,Eight and nine make seventeen. The missing part is nine.,mcq,Find a missing part,apply,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T07,A row has 11 counters. Five are crossed out. Which equation matches?,"{""A"": ""11 + 5 = 16"", ""B"": ""11 − 5 = 6"", ""C"": ""6 − 5 = 1""}",B,The model starts with eleven and removes five. Six remain.,mcq,Match a crossed-out model,apply,,"{""type"": ""grid"", ""rows"": [[""×"", ""×"", ""×"", ""×"", ""×"", ""●"", ""●"", ""●"", ""●"", ""●"", ""●""]], ""caption"": ""× crossed-out counter; ● remaining counter.""}",https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T08,The parts are 5 and 8. The whole is 13. Write one addition equation and one subtraction equation.,{},5 + 8 = 13; 13 − 5 = 8,The addition joins the two parts. The subtraction removes one part from the whole.,short_answer,Create a related fact pair,create,Accept either order of 5 + 8 = 13 and either 13 − 5 = 8 or 13 − 8 = 5; reversed equality forms are valid.,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T09,"Lee works out 13 + 4 by saying “13, 14, 15, 16”. What answer should Lee get?","{""A"": ""18"", ""B"": ""16"", ""C"": ""17""}",C,"Do not count the starting number as a step. Four steps after 13 are 14, 15, 16, 17.",mcq,Correct a count-on result,reason,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T10,Compare 5 + 9 and 6 + 8. Which is true?,"{""A"": ""6 + 8 is greater."", ""B"": ""They are equal."", ""C"": ""5 + 9 is greater.""}",B,Both totals are fourteen. One part gains one while the other loses one.,mcq,Compare two decompositions,reason,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T11,"__ − 4 = 12
What was the starting number?","{""A"": ""18"", ""B"": ""8"", ""C"": ""16""}",C,Add the removed four back to twelve. The starting number was sixteen.,mcq,Find a missing starting amount,apply,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T12,Work out 18 − 9. Show a way to check your answer.,{},9; 9 + 9 = 18,Nine and nine make eighteen. Removing one nine leaves the other nine.,short_answer,Check subtraction with addition,reason,"Accept 9 with a valid check, including 9 + 9 = 18, a counter model, or counting nine steps from 9 to 18.",null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T13,A ten-frame is full. A second ten-frame has 4 counters. Remove those 4 counters. How many remain?,"{""A"": ""10"", ""B"": ""4"", ""C"": ""14""}",A,The full ten-frame stays unchanged. Removing the four extra counters leaves ten.,mcq,Interpret two ten-frames,apply,,"{""type"": ""grid"", ""rows"": [[""●"", ""●"", ""●"", ""●"", ""●""], [""●"", ""●"", ""●"", ""●"", ""●""], [""×"", ""×"", ""×"", ""×"", ""○""], [""○"", ""○"", ""○"", ""○"", ""○""]], ""caption"": ""First two rows: full frame. Last two rows: second frame. × removed; ○ empty.""}",https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T14,Which addition has the greatest total?,"{""A"": ""9 + 9"", ""B"": ""7 + 8"", ""C"": ""10 + 7""}",A,"The totals are 15, 18 and 17. Eighteen is the greatest.",mcq,Compare calculated totals,reason,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T15,"Start at 15. Move back 5, then back 3. Where do you finish?","{""A"": ""8"", ""B"": ""10"", ""C"": ""7""}",C,Fifteen minus five reaches ten. Three more steps back reaches seven.,mcq,Read split backward jumps,apply,,null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N04,Addition and Subtraction within 20,test,T16,Write a subtraction equation with an answer of 6. Start with a number greater than 10 and no greater than 20.,{},14 − 8 = 6,Choose a starting number and remove enough to leave six. Fourteen minus eight is one example.,short_answer,Create a constrained subtraction,create,"Accept n − (n−6) = 6 for any whole-number n from 11 to 20, with both numbers shown correctly.",null,https://au.ixl.com/maths/year-1/make-ten-to-add,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P01,Five children are on the mat. Three more join them. Which equation finds how many children are on the mat now?,"{""A"": ""5 + 3 = 8"", ""B"": ""8 + 3 = 11"", ""C"": ""5 − 3 = 2""}",A,The three children join the five already there. Add the two groups to find eight children.,mcq,Choose a joining equation,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P02,A pencil pot holds 12 pencils. Four pencils are taken out. How many stay in the pot?,"{""A"": ""16"", ""B"": ""4"", ""C"": ""8""}",C,The pencils taken out are removed from the starting twelve. Twelve minus four leaves eight.,mcq,Solve a separating situation,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P03,Ana has 7 shells. Ben has 5 shells. How many more shells does Ana have?,"{""A"": ""5"", ""B"": ""12"", ""C"": ""2""}",C,Match five shells from each collection. Ana has two shells left without a match.,mcq,Compare two collections,apply,,"{""type"": ""bars"", ""bars"": [{""label"": ""Ana"", ""units"": 7}, {""label"": ""Ben"", ""units"": 5}], ""caption"": ""Each block represents one shell.""}",https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P04,There are 6 toy cars on one shelf and 5 on another. Draw a model to show how many cars there are altogether. Write the total.,{},11 cars,Join the group of six and the group of five. Six plus five makes eleven.,short_answer,Draw a joining model,create,"Accept a model with groups of 6 and 5 joined or counted together, with total 11.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P05,"At a school stall, a sticker costs 15 cents. You pay with a 10-cent coin and a 5-cent coin. How much change should you get?","{""A"": ""0 cents"", ""B"": ""10 cents"", ""C"": ""5 cents""}",A,"Ten cents and five cents total fifteen cents. You paid exactly the price, so there is no change.",mcq,Recognise exact coin payment,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P06,A pencil costs $2 and a rubber costs $3. How much do they cost altogether?,"{""A"": ""$1"", ""B"": ""$6"", ""C"": ""$5""}",C,Add the two prices: two dollars plus three dollars is five dollars.,mcq,Combine two prices,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P07,A tank has some fish. Four more fish are added. Now it has 13 fish. How many fish were there at the start?,"{""A"": ""9"", ""B"": ""13"", ""C"": ""17""}",A,The starting fish and four new fish make thirteen. Take away four from thirteen to find the starting nine.,mcq,Find a missing starting quantity,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P08,A caterpillar picture needs 12 spots. You have drawn 7 spots. Draw or write a way to find how many more spots it needs.,{},5 more spots; 7 + 5 = 12,"Count on from seven to twelve, or subtract seven from twelve. Five spots are still needed.",short_answer,Represent a missing added part,create,"Accept 5 more spots with 7 + 5 = 12, 12 − 7 = 5, a labelled gap model, or a drawing showing 7 existing and 5 additional spots.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P09,There are 18 counters in a bag. Five are taken out. Which model matches the story?,"{""A"": ""13 at the start; add 5; 18 at the end."", ""B"": ""5 at the start; remove 5; 0 at the end."", ""C"": ""18 at the start; remove 5; 13 at the end.""}",C,The story starts with eighteen and removes five. The model must leave thirteen in the bag.,mcq,Choose a start-change-finish model,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P10,A book costs $6. You pay with a $10 note. How much change should you get?,"{""A"": ""$4"", ""B"": ""$16"", ""C"": ""$6""}",A,Six dollars for the book and four dollars in change make the ten dollars paid.,mcq,Find change from a note,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P11,Max has 6 toy animals. Liv has 2 fewer than Max. How many toy animals does Liv have?,"{""A"": ""2"", ""B"": ""4"", ""C"": ""8""}",B,Two fewer than six means taking away two. Liv has four toy animals.,mcq,Interpret a fewer-than comparison,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P12,"Make a short story that matches 8 − 3 = 5. Tell what the 8, the 3 and the 5 mean.",{},There were 8 balloons. Three burst. Five balloons were left.,"Eight minus three is five. A matching story can remove three from eight, compare eight and three, or find the missing part of eight.",short_answer,Create a separating story,create,"Accept any sensible story or labelled drawing representing 8 − 3 = 5, including taking away 3 from 8, comparing amounts of 8 and 3 to find a difference of 5, or finding the missing part of 8 when the known part is 3. The roles of all three numbers must be clear.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P13,Ten books are on a table. Some are put on a shelf. Four books stay on the table. Which equation helps find how many were moved?,"{""A"": ""10 − 4 = 6"", ""B"": ""10 + 4 = 14"", ""C"": ""4 − 4 = 0""}",A,The ten books split into books moved and books left. Taking away the four left finds the six moved.,mcq,Choose an equation for a missing change,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P14,A toy costs $7. Which payment is exactly $7?,"{""A"": ""One $5 note and one $1 coin."", ""B"": ""One $5 note and one $2 coin."", ""C"": ""Two $5 notes.""}",B,Five dollars and two dollars make seven dollars. This payment matches the price.,mcq,Select a note-and-coin payment,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P15,The red team has 9 points. The blue team has 6 points. How many points does the blue team need to catch up?,"{""A"": ""6"", ""B"": ""3"", ""C"": ""15""}",B,The blue team needs the gap between six and nine. Three more points makes the scores equal.,mcq,Find an amount needed to match,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P16,"Complete the story with an equation.
Blocks in the box at first: 9
Blocks added: 6
Blocks in the box at the end: ?",{},9 + 6 = 15,Six blocks join the nine already in the box. The new total is fifteen blocks.,short_answer,Turn a start-change table into an equation,create,"Accept 9 + 6 = 15 or 6 + 9 = 15, including reversed equality.","{""type"": ""table"", ""headers"": [""Stage"", ""Blocks""], ""rows"": [[""At first"", ""9""], [""Added"", ""6""], [""At the end"", ""?""]]}",https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P17,"A tray has 6 red beads, 4 blue beads and 2 green beads. How many red and blue beads are there altogether?","{""A"": ""12"", ""B"": ""8"", ""C"": ""10""}",C,Only the red and blue beads are wanted. Add six and four to get ten.,mcq,Select quantities needed for a model,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P18,A box has 12 blocks. You want it to have 9 blocks. What should you do?,"{""A"": ""Take out 3 blocks."", ""B"": ""Take out 9 blocks."", ""C"": ""Add 3 blocks.""}",A,Twelve is three more than nine. Removing three leaves the nine blocks wanted.,mcq,Choose an action to reach a target,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P19,A cup costs $4. A plate costs $5. The price tag for both says $10. What should the total price be?,"{""A"": ""$1"", ""B"": ""$9"", ""C"": ""$10""}",B,The two prices add to nine dollars. The ten-dollar tag is one dollar too much.,mcq,Correct a combined-price error,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P20,"At a class shop, a card costs 15 cents. You pay 20 cents. Write the change and an equation to check it.",{},5 cents; 15 + 5 = 20,Fifteen cents and five cents make the twenty cents paid. So the change is five cents.,short_answer,Model and check change,reason,"Accept 5 cents with 15 + 5 = 20 or 20 − 15 = 5, with cents stated or clear from the response.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P21,"A bowl had 14 cherries. After snack time, 9 cherries were left. How many cherries were eaten?","{""A"": ""14"", ""B"": ""5"", ""C"": ""9""}",B,The eaten cherries and the nine left make fourteen. Fourteen minus nine gives five eaten.,mcq,Solve a missing-change situation,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P22,A bus has 7 occupied seats and 5 empty seats. Which drawing plan would show the total number of seats?,"{""A"": ""Draw only the 5 empty seats."", ""B"": ""Draw 7 seats, then cross out 5."", ""C"": ""Draw 7 occupied seats and 5 more empty seats.""}",C,Occupied and empty seats are the two parts of all the seats. Drawing both parts shows the total of twelve.,mcq,Choose a part-whole drawing plan,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P23,You have $8 and spend $5 on a snack. Which item can you buy with exactly the money left?,"{""A"": ""A $5 notebook."", ""B"": ""A $3 badge."", ""C"": ""A $4 pen.""}",B,Eight dollars minus five dollars leaves three dollars. The badge costs exactly that amount.,mcq,Use a remaining amount to select a purchase,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,practice,P24,A small ball costs $3. A kite costs $8. Show their total cost with a drawing or an equation.,{},$11; 3 + 8 = 11,Join the two prices to find the cost of both items. Three dollars and eight dollars make eleven dollars.,short_answer,Create a model for combined purchases,create,"Accept total $11 with 3 + 8 = 11, 8 + 3 = 11, or a clear labelled money model.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T01,"A class puts 12 paintings on a wall, then adds 5 more. How many paintings are on the wall now?","{""A"": ""18"", ""B"": ""17"", ""C"": ""7""}",B,The five new paintings join the first twelve. Twelve plus five makes seventeen.,mcq,Solve a joining situation,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T02,A shelf had 16 cups. Some cups were taken away. Eleven cups remain. Which equation puts the cups taken away in the gap?,"{""A"": ""16 − __ = 11"", ""B"": ""11 + 5 = __"", ""C"": ""16 − __ = 5""}",A,"The story gives the starting sixteen and the remaining eleven. The blank is the number taken away, five.",mcq,Represent an unknown change,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T03,A puzzle costs $7. You pay with a $10 note. How much change should you receive?,"{""A"": ""$17"", ""B"": ""$7"", ""C"": ""$3""}",C,Seven dollars for the puzzle and three dollars in change make ten dollars.,mcq,Find change from a note,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T04,Thirteen children each need a ticket. Seven tickets are ready. Show how to find the number of extra tickets needed.,{},6 more tickets; 13 − 7 = 6,The seven ready tickets and six extra tickets make thirteen.,short_answer,Represent a missing added part,create,"Accept 6 extra tickets with 13 − 7 = 6, 7 + 6 = 13, counting on, or a matching model.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T05,Two towers use the same-size blocks. One tower has 8 blocks. The other has 12 blocks. How many blocks taller is the second tower?,"{""A"": ""20"", ""B"": ""4"", ""C"": ""8""}",B,Match the first eight blocks in both towers. Four blocks remain above the shorter tower.,mcq,Compare two modelled quantities,apply,,"{""type"": ""bars"", ""bars"": [{""label"": ""First tower"", ""units"": 8}, {""label"": ""Second tower"", ""units"": 12}], ""caption"": ""Each block represents one building block. All building blocks are the same size.""}",https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T06,A bag costs $6 and a hat costs $8. What is the cost of buying both?,"{""A"": ""$16"", ""B"": ""$2"", ""C"": ""$14""}",C,Both prices are parts of the total. Six dollars plus eight dollars is fourteen dollars.,mcq,Combine two prices,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T07,There are 9 spoons and 6 bowls. Each bowl needs one spoon. Which equation finds the extra spoons?,"{""A"": ""6 − 3 = 3"", ""B"": ""9 + 6 = 15"", ""C"": ""9 − 6 = 3""}",C,Pair one spoon with each of the six bowls. Subtract six from nine to find the three extra spoons.,mcq,Choose a comparison equation,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T08,Six toy boats were taken from a box. Seven boats were left. Draw a model or write an equation to find how many boats were in the box at first.,{},13 boats; 6 + 7 = 13,The boats removed and the boats left are the two parts of the starting amount. Together they make thirteen.,short_answer,Build a missing-start model,create,"Accept 13 boats with 6 + 7 = 13, 7 + 6 = 13, 13 − 6 = 7, or a drawing showing both parts.",null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T09,A game costs $5. You pay with two $2 coins and one $1 coin. Which is true?,"{""A"": ""You paid exactly $5."", ""B"": ""You should get $1 change."", ""C"": ""You need $1 more.""}",A,Two dollars plus two dollars plus one dollar makes five dollars. The payment matches the price.,mcq,Check a payment made from several coins,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T10,Fifteen paint pots each need a lid. There are only 9 lids. How many more lids are needed?,"{""A"": ""6"", ""B"": ""15"", ""C"": ""9""}",A,"Nine lids are already available. Six more will make fifteen lids, one for every pot.",mcq,Find an amount needed to match,apply,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N05,Additive Problem Solving and Money,test,T11,A basket has 4 bread rolls. Seven more are added. Jo says there are 3 rolls now. What is the correct total?,"{""A"": ""3"", ""B"": ""11"", ""C"": ""7""}",B,"More rolls were added, so join the quantities. Four plus seven is eleven.",mcq,Correct an operation chosen for a story,reason,,null,https://au.ixl.com/maths/year-1/word-problems-with-change-unknown-up-to-10,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
